timestamp, temperature_gpu, power_draw_w, power_limit_w, utilization_gpu, utilization_memory, memory_used_mib, memory_free_mib, clocks_throttle_reasons_active, clocks_current_sm_mhz, clocks_applications_graphics_mhz, clocks_current_memory_mhz, clocks_max_memory_mhz, pstate
1557442813970128755, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813972416231, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813974628522, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813976834038, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813979000849, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813987547964, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813989593962, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813991658342, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813994468079, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813997240679, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442813999721500, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814007991921, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814010238009, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814012457510, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814014632198, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814016782063, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814018961567, 57, 42, 250, 13, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814021189832, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814028472887, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814031297555, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814034133686, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814036943450, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814039551352, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814047543399, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814049488964, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814051593284, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814054993727, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814058386272, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814061817483, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814069556311, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814073024282, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814076398989, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814079784080, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814089075220, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814092448811, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814095230540, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814098053031, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814100995944, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814108450453, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814111261842, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814114070285, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814116840215, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814119805741, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814128078035, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814130242253, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814132438965, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814134628613, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814136707847, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814138725137, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814140768187, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814147777597, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814149733944, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
